f,aircraft,origin,destination,takeoff,landing,delays
351,6,55,77,Sun May 07 15:10:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,360_
356,6,77,55,Sun May 07 18:10:00 SGT 2017,Sun May 07 20:35:00 SGT 2017,360_
359,6,55,49,Sun May 07 21:20:00 SGT 2017,Sun May 07 23:30:00 SGT 2017,420_
377,74,79,49,Sun May 07 11:55:00 SGT 2017,Sun May 07 15:35:00 SGT 2017,110_
378,8,60,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,230_
380,6,49,55,Sun May 07 12:20:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,345_
445,140,49,79,Sat May 06 12:05:00 SGT 2017,Sat May 06 15:35:00 SGT 2017,175_
471,50,57,49,Sun May 07 13:00:00 SGT 2017,Sun May 07 14:45:00 SGT 2017,170_
485,132,49,57,Sun May 07 16:50:00 SGT 2017,Sun May 07 18:40:00 SGT 2017,65_
489,38,36,49,Sun May 07 09:45:00 SGT 2017,Sun May 07 11:05:00 SGT 2017,360_
517,140,79,52,Sat May 06 18:15:00 SGT 2017,Sat May 06 21:05:00 SGT 2017,120_
521,35,25,49,Sun May 07 06:45:00 SGT 2017,Sun May 07 09:55:00 SGT 2017,430_
525,138,25,50,Sun May 07 16:20:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,360_
532,28,49,25,Sun May 07 15:00:00 SGT 2017,Sun May 07 17:50:00 SGT 2017,195_
545,98,63,49,Sun May 07 10:00:00 SGT 2017,Sun May 07 10:50:00 SGT 2017,380_
555,79,25,61,Sun May 07 17:15:00 SGT 2017,Sun May 07 20:15:00 SGT 2017,300_
557,3,25,49,Sun May 07 10:55:00 SGT 2017,Sun May 07 14:00:00 SGT 2017,180_
579,138,50,25,Sun May 07 16:00:00 SGT 2017,Sun May 07 18:50:00 SGT 2017,135_
587,21,25,50,Sun May 07 11:35:00 SGT 2017,Sun May 07 14:35:00 SGT 2017,160_
591,23,2,49,Sat May 06 18:35:00 SGT 2017,Sun May 07 06:10:00 SGT 2017,660_
593,86,61,25,Sat May 06 13:15:00 SGT 2017,Sat May 06 16:15:00 SGT 2017,105_
594,101,61,25,Sun May 07 13:15:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,275_
603,127,41,49,Sun May 07 13:55:00 SGT 2017,Sun May 07 15:45:00 SGT 2017,105_
620,127,49,27,Sun May 07 16:45:00 SGT 2017,Sun May 07 19:40:00 SGT 2017,95_
653,34,30,49,Sun May 07 19:25:00 SGT 2017,Sun May 07 22:05:00 SGT 2017,120_
666,18,66,49,Sun May 07 10:35:00 SGT 2017,Sun May 07 12:10:00 SGT 2017,300_
701,82,49,30,Sun May 07 15:45:00 SGT 2017,Sun May 07 18:35:00 SGT 2017,165_
723,140,30,50,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:20:00 SGT 2017,165_
743,28,25,50,Sun May 07 18:55:00 SGT 2017,Sun May 07 21:45:00 SGT 2017,180_
777,43,49,46,Sun May 07 16:30:00 SGT 2017,Sun May 07 19:15:00 SGT 2017,90_
859,101,37,45,Sat May 06 14:55:00 SGT 2017,Sat May 06 17:10:00 SGT 2017,180_
876,43,46,49,Sun May 07 12:30:00 SGT 2017,Sun May 07 15:20:00 SGT 2017,110_
884,33,46,50,Sun May 07 21:15:00 SGT 2017,Mon May 08 00:05:00 SGT 2017,120_
947,69,50,37,Sun May 07 16:00:00 SGT 2017,Sun May 07 18:10:00 SGT 2017,110_
961,69,37,75,Sun May 07 19:10:00 SGT 2017,Sun May 07 23:25:00 SGT 2017,120_
973,101,45,38,Sat May 06 17:05:00 SGT 2017,Sat May 06 19:10:00 SGT 2017,240_
983,71,38,49,Sun May 07 12:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,180_
992,115,49,78,Sun May 07 14:35:00 SGT 2017,Sun May 07 17:25:00 SGT 2017,210_
1001,133,42,49,Sun May 07 12:20:00 SGT 2017,Sun May 07 14:20:00 SGT 2017,180_
1019,69,31,50,Sun May 07 13:50:00 SGT 2017,Sun May 07 15:40:00 SGT 2017,80_
1041,133,49,42,Sun May 07 16:35:00 SGT 2017,Sun May 07 18:45:00 SGT 2017,105_
1045,95,49,31,Sun May 07 11:55:00 SGT 2017,Sun May 07 13:25:00 SGT 2017,360_
1063,46,31,49,Sun May 07 14:30:00 SGT 2017,Sun May 07 15:55:00 SGT 2017,75_
1069,4,34,50,Sun May 07 18:20:00 SGT 2017,Sun May 07 20:25:00 SGT 2017,180_
1080,44,31,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,270_
1084,4,50,27,Sun May 07 21:10:00 SGT 2017,Sun May 07 23:45:00 SGT 2017,180_
1091,75,36,50,Sun May 07 14:10:00 SGT 2017,Sun May 07 15:40:00 SGT 2017,85_
1133,122,42,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:00:00 SGT 2017,190_
1146,95,31,50,Sun May 07 17:25:00 SGT 2017,Sun May 07 19:10:00 SGT 2017,180_
1152,46,49,31,Sun May 07 15:50:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,130_
1157,94,72,49,Sun May 07 11:35:00 SGT 2017,Sun May 07 14:20:00 SGT 2017,180_
1172,46,31,49,Sun May 07 18:45:00 SGT 2017,Sun May 07 20:15:00 SGT 2017,120_
1180,115,34,49,Sun May 07 14:00:00 SGT 2017,Sun May 07 15:55:00 SGT 2017,80_
1215,4,33,49,Sun May 07 10:15:00 SGT 2017,Sun May 07 11:55:00 SGT 2017,310_
1272,36,50,62,Sun May 07 14:25:00 SGT 2017,Sun May 07 15:50:00 SGT 2017,220_
1280,137,62,50,Sun May 07 10:30:00 SGT 2017,Sun May 07 11:55:00 SGT 2017,320_
1284,94,57,49,Sun May 07 17:45:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,180_
1286,50,62,50,Sun May 07 17:10:00 SGT 2017,Sun May 07 18:50:00 SGT 2017,240_
1300,10,62,49,Sun May 07 13:15:00 SGT 2017,Sun May 07 15:05:00 SGT 2017,120_
1350,104,50,7,Sat May 06 09:00:00 SGT 2017,Sat May 06 10:25:00 SGT 2017,360_
1360,12,49,37,Sun May 07 15:10:00 SGT 2017,Sun May 07 17:30:00 SGT 2017,180_
1374,70,50,16,Sun May 07 14:50:00 SGT 2017,Sun May 07 18:25:00 SGT 2017,190_
1387,70,16,50,Sun May 07 19:35:00 SGT 2017,Sun May 07 23:15:00 SGT 2017,180_
1406,35,49,6,Sun May 07 16:50:00 SGT 2017,Sun May 07 18:45:00 SGT 2017,65_
1433,104,7,50,Sun May 07 11:25:00 SGT 2017,Sun May 07 13:10:00 SGT 2017,230_
1448,87,61,11,Sun May 07 13:40:00 SGT 2017,Sun May 07 16:10:00 SGT 2017,250_
1450,109,11,61,Sat May 06 17:10:00 SGT 2017,Sat May 06 19:30:00 SGT 2017,1290_
1451,87,11,61,Sun May 07 17:10:00 SGT 2017,Sun May 07 19:30:00 SGT 2017,240_
1461,118,61,15,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:35:00 SGT 2017,170_
1464,95,12,49,Sun May 07 12:40:00 SGT 2017,Sun May 07 15:30:00 SGT 2017,95_
1465,10,13,49,Sun May 07 18:15:00 SGT 2017,Sun May 07 21:15:00 SGT 2017,540_
1469,10,49,13,Sun May 07 13:55:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,240_
1497,62,50,60,Sun May 07 14:05:00 SGT 2017,Sun May 07 16:10:00 SGT 2017,225_
1513,118,15,50,Sun May 07 17:50:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,180_
1555,115,78,58,Sun May 07 18:45:00 SGT 2017,Sun May 07 20:35:00 SGT 2017,180_
1556,115,58,49,Sun May 07 21:20:00 SGT 2017,Sun May 07 22:55:00 SGT 2017,480_
1581,47,41,50,Sun May 07 21:55:00 SGT 2017,Sun May 07 23:55:00 SGT 2017,120_
1603,75,50,62,Sun May 07 16:30:00 SGT 2017,Sun May 07 17:55:00 SGT 2017,85_
1613,74,62,50,Sun May 07 18:55:00 SGT 2017,Sun May 07 20:25:00 SGT 2017,120_
1632,104,71,38,Sun May 07 19:50:00 SGT 2017,Sun May 07 21:25:00 SGT 2017,240_
1633,104,38,50,Sun May 07 22:25:00 SGT 2017,Sun May 07 23:50:00 SGT 2017,240_
1636,104,50,38,Sun May 07 14:35:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,195_
1639,104,38,71,Sun May 07 17:25:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,180_
1651,38,49,67,Sun May 07 15:10:00 SGT 2017,Sun May 07 17:40:00 SGT 2017,165_
1670,90,67,49,Sun May 07 18:45:00 SGT 2017,Sun May 07 21:10:00 SGT 2017,120_
1705,34,68,52,Mon May 08 17:20:00 SGT 2017,Mon May 08 19:30:00 SGT 2017,120_
1746,127,27,67,Sun May 07 19:05:00 SGT 2017,Sun May 07 21:45:00 SGT 2017,180_
1758,19,68,61,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:50:00 SGT 2017,250_
1796,62,60,52,Sun May 07 17:10:00 SGT 2017,Sun May 07 18:55:00 SGT 2017,240_
1799,62,52,61,Sun May 07 20:10:00 SGT 2017,Sun May 07 21:30:00 SGT 2017,240_
1876,118,31,61,Sun May 07 11:55:00 SGT 2017,Sun May 07 13:10:00 SGT 2017,230_
2067,112,38,61,Sun May 07 10:35:00 SGT 2017,Sun May 07 12:10:00 SGT 2017,300_
2069,87,25,61,Sun May 07 06:25:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,460_
2158,33,73,46,Sun May 07 16:10:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,300_
2186,33,49,73,Sun May 07 12:50:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,310_
2258,83,44,52,Sun May 07 19:50:00 SGT 2017,Sun May 07 22:25:00 SGT 2017,300_
2283,43,46,57,Sun May 07 19:35:00 SGT 2017,Sun May 07 21:25:00 SGT 2017,120_
2288,43,57,61,Sun May 07 22:25:00 SGT 2017,Sun May 07 23:55:00 SGT 2017,120_
2290,83,32,44,Sun May 07 16:00:00 SGT 2017,Sun May 07 18:25:00 SGT 2017,300_
2297,83,61,32,Sun May 07 13:25:00 SGT 2017,Sun May 07 15:00:00 SGT 2017,270_
2344,85,11,49,Sun May 07 06:30:00 SGT 2017,Sun May 07 08:55:00 SGT 2017,485_
2359,101,50,37,Sat May 06 10:55:00 SGT 2017,Sat May 06 13:00:00 SGT 2017,245_
2364,70,37,50,Sun May 07 08:10:00 SGT 2017,Sun May 07 10:10:00 SGT 2017,420_

