f,aircraft,origin,destination,takeoff,landing,delays
983,71,38,49,Sun May 07 12:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,175_
992,115,49,78,Sun May 07 14:35:00 SGT 2017,Sun May 07 17:25:00 SGT 2017,205_
1019,122,31,50,Sun May 07 13:50:00 SGT 2017,Sun May 07 15:40:00 SGT 2017,80_
1024,106,49,21,Sun May 07 17:35:00 SGT 2017,Sun May 07 22:00:00 SGT 2017,90_
1112,30,35,50,Sun May 07 14:40:00 SGT 2017,Sun May 07 16:10:00 SGT 2017,80_
1172,30,31,49,Sun May 07 18:45:00 SGT 2017,Sun May 07 20:15:00 SGT 2017,120_
1180,12,34,49,Sun May 07 14:00:00 SGT 2017,Sun May 07 15:55:00 SGT 2017,145_
1229,35,49,68,Sun May 07 14:00:00 SGT 2017,Sun May 07 16:05:00 SGT 2017,300_
1261,35,68,49,Sun May 07 16:55:00 SGT 2017,Sun May 07 19:00:00 SGT 2017,300_
1272,80,50,62,Sun May 07 14:25:00 SGT 2017,Sun May 07 15:50:00 SGT 2017,250_
1333,13,37,49,Sun May 07 14:10:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,70_
1337,13,49,20,Sun May 07 17:40:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,90_
1339,116,7,61,Sun May 07 20:00:00 SGT 2017,Sun May 07 21:40:00 SGT 2017,90_
1360,12,49,37,Sun May 07 15:10:00 SGT 2017,Sun May 07 17:30:00 SGT 2017,240_
1397,122,7,32,Sun May 07 12:00:00 SGT 2017,Sun May 07 14:30:00 SGT 2017,480_
1406,71,49,6,Sun May 07 16:50:00 SGT 2017,Sun May 07 18:45:00 SGT 2017,70_
1426,122,50,7,Sun May 07 09:00:00 SGT 2017,Sun May 07 10:25:00 SGT 2017,525_
1436,116,32,7,Sun May 07 16:30:00 SGT 2017,Sun May 07 19:00:00 SGT 2017,90_
1461,46,61,15,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:35:00 SGT 2017,170_
1464,95,12,49,Sun May 07 12:40:00 SGT 2017,Sun May 07 15:30:00 SGT 2017,90_
1497,110,50,60,Sun May 07 14:05:00 SGT 2017,Sun May 07 16:10:00 SGT 2017,220_
1513,46,15,50,Sun May 07 17:50:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,150_
1555,115,78,58,Sun May 07 18:45:00 SGT 2017,Sun May 07 20:35:00 SGT 2017,180_
1556,115,58,49,Sun May 07 21:20:00 SGT 2017,Sun May 07 22:55:00 SGT 2017,450_
1613,95,62,50,Sun May 07 18:55:00 SGT 2017,Sun May 07 20:25:00 SGT 2017,90_
1651,38,49,67,Sun May 07 15:10:00 SGT 2017,Sun May 07 17:40:00 SGT 2017,205_
1670,90,67,49,Sun May 07 18:45:00 SGT 2017,Sun May 07 21:10:00 SGT 2017,90_
1728,60,52,67,Sat May 06 20:30:00 SGT 2017,Sat May 06 22:55:00 SGT 2017,330_
1745,52,27,67,Sat May 06 19:05:00 SGT 2017,Sat May 06 21:45:00 SGT 2017,390_
1796,110,60,52,Sun May 07 17:10:00 SGT 2017,Sun May 07 18:55:00 SGT 2017,210_
1799,110,52,61,Sun May 07 20:10:00 SGT 2017,Sun May 07 21:30:00 SGT 2017,210_
1813,37,61,62,Sun May 07 12:30:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,330_
1876,46,31,61,Sun May 07 11:55:00 SGT 2017,Sun May 07 13:10:00 SGT 2017,230_
2067,112,38,61,Sun May 07 10:35:00 SGT 2017,Sun May 07 12:10:00 SGT 2017,300_
2127,140,30,52,Sun May 07 21:10:00 SGT 2017,Sun May 07 23:15:00 SGT 2017,120_

